"event.id","visible","timestamp","location.long","location.lat","manually.marked.outlier","sensor.type","individual.taxon.canonical.name","tag.local.identifier","individual.local.identifier","study.name","utm.easting","utm.northing","utm.zone"
1730363,"true","2009-07-10 01:03:00.000",-99.68456,29.43478,NA,"radio-transmitter","Tadarida brasiliensis",997,"Bat 1","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",433604.015955012,3256352.00758159,"14N"
1730364,"true","2009-07-10 01:05:51.000",-99.67691,29.43108,NA,"radio-transmitter","Tadarida brasiliensis",997,"Bat 1","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",434343.632998908,3255937.70530475,"14N"
1730365,"true","2009-07-10 01:08:59.000",-99.69588,29.43304,NA,"radio-transmitter","Tadarida brasiliensis",997,"Bat 1","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",432504.902074694,3256165.71094097,"14N"
1730366,"true","2009-07-10 01:11:12.000",-99.68151,29.44573,NA,"radio-transmitter","Tadarida brasiliensis",997,"Bat 1","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",433906.938705317,3257563.56513452,"14N"
1730367,"true","2009-07-10 01:12:43.000",-99.68273,29.44433,NA,"radio-transmitter","Tadarida brasiliensis",997,"Bat 1","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",433787.711081222,3257409.13358062,"14N"
1730368,"true","2009-07-10 01:14:31.000",-99.68216,29.45656,NA,"radio-transmitter","Tadarida brasiliensis",997,"Bat 1","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",433850.924971004,3258763.93036419,"14N"
1730369,"true","2009-07-10 01:16:03.000",-99.69088,29.45513,NA,"radio-transmitter","Tadarida brasiliensis",997,"Bat 1","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",433004.385547875,3258610.46461462,"14N"
1730370,"true","2009-07-10 01:18:16.000",-99.68557,29.45371,NA,"radio-transmitter","Tadarida brasiliensis",997,"Bat 1","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",433518.390818821,3258450.082537,"14N"
1730371,"true","2009-07-10 01:18:33.000",-99.6793,29.45633,NA,"radio-transmitter","Tadarida brasiliensis",997,"Bat 1","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",434128.117436635,3258736.82518435,"14N"
1730372,"true","2009-07-10 01:20:08.000",-99.68999,29.46296,NA,"radio-transmitter","Tadarida brasiliensis",997,"Bat 1","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",433095.830888086,3259477.54236193,"14N"
1730373,"true","2009-07-10 01:20:55.000",-99.68014,29.45838,NA,"radio-transmitter","Tadarida brasiliensis",997,"Bat 1","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",434047.986525484,3258964.44671794,"14N"
1730374,"true","2009-07-10 01:21:39.000",-99.68221,29.47286,NA,"radio-transmitter","Tadarida brasiliensis",997,"Bat 1","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",433856.654796445,3260570.0511983,"14N"
1730375,"true","2009-07-10 01:22:16.000",-99.69227,29.46614,NA,"radio-transmitter","Tadarida brasiliensis",997,"Bat 1","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",432876.841651393,3259831.2087381,"14N"
1730376,"true","2009-07-10 01:23:35.000",-99.69665,29.46852,NA,"radio-transmitter","Tadarida brasiliensis",997,"Bat 1","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",432453.719244645,3260097.45320149,"14N"
1730377,"true","2009-07-10 01:24:41.000",-99.70165,29.45988,NA,"radio-transmitter","Tadarida brasiliensis",997,"Bat 1","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",431963.146230594,3259143.02184748,"14N"
1730378,"true","2009-07-10 01:25:22.000",-99.70221,29.47336,NA,"radio-transmitter","Tadarida brasiliensis",997,"Bat 1","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",431917.848689418,3260636.98011829,"14N"
1730379,"true","2009-07-10 01:25:45.000",-99.70069,29.48121,NA,"radio-transmitter","Tadarida brasiliensis",997,"Bat 1","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",432070.457368407,3261505.90098859,"14N"
1730380,"true","2009-07-10 01:27:36.000",-99.69777,29.47992,NA,"radio-transmitter","Tadarida brasiliensis",997,"Bat 1","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",432352.692138823,3261361.26393011,"14N"
1730381,"true","2009-07-10 01:29:36.000",-99.69447,29.48323,NA,"radio-transmitter","Tadarida brasiliensis",997,"Bat 1","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",432674.816127357,3261726.11098173,"14N"
1730382,"true","2009-07-10 01:30:48.000",-99.69809,29.49951,NA,"radio-transmitter","Tadarida brasiliensis",997,"Bat 1","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",432334.687718081,3263532.09675457,"14N"
1730383,"true","2009-07-10 01:32:09.000",-99.688,29.49607,NA,"radio-transmitter","Tadarida brasiliensis",997,"Bat 1","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",433310.474250088,3263145.10586301,"14N"
