event-id,visible,timestamp,location-long,location-lat,manually-marked-outlier,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,utm-easting,utm-northing,utm-zone
1730675,true,2009-07-11 00:44:00.000,-99.68456,29.43478,,"radio-transmitter","Tadarida brasiliensis","7565","Bat 2","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",433604.0159550124,3256352.0075815944,"14N"
1730676,true,2009-07-11 00:46:43.000,-99.67642,29.43764,,"radio-transmitter","Tadarida brasiliensis","7565","Bat 2","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",434395.3785462167,3256664.2948603947,"14N"
1730677,true,2009-07-11 00:48:33.000,-99.68902,29.44718,,"radio-transmitter","Tadarida brasiliensis","7565","Bat 2","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",433179.5481729241,3257728.5120318546,"14N"
1730678,true,2009-07-11 00:52:32.000,-99.69436,29.45305,,"radio-transmitter","Tadarida brasiliensis","7565","Bat 2","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",432665.5429540785,3258382.000136981,"14N"
1730679,true,2009-07-11 00:54:26.000,-99.70941,29.45806,,"radio-transmitter","Tadarida brasiliensis","7565","Bat 2","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",431209.4348491841,3258945.9169134614,"14N"
1730680,true,2009-07-11 00:55:24.000,-99.72277,29.45698,,"radio-transmitter","Tadarida brasiliensis","7565","Bat 2","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",429913.15519297717,3258834.2123468276,"14N"
1730681,true,2009-07-11 00:56:59.000,-99.72835,29.46558,,"radio-transmitter","Tadarida brasiliensis","7565","Bat 2","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",429378.00692161307,3259790.4943585214,"14N"
1730682,true,2009-07-11 00:58:47.000,-99.73038,29.4672,,"radio-transmitter","Tadarida brasiliensis","7565","Bat 2","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",429182.2949675975,3259971.2292089835,"14N"
1730683,true,2009-07-11 01:01:38.000,-99.7333,29.47761,,"radio-transmitter","Tadarida brasiliensis","7565","Bat 2","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",428906.42720851325,3261126.477738174,"14N"
1730684,true,2009-07-11 01:07:49.000,-99.73537,29.4884,,"radio-transmitter","Tadarida brasiliensis","7565","Bat 2","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",428713.2871945078,3262323.3206257955,"14N"
